id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2994441,dongsi_aq,2018-05-11 00:00:00,44.0,,49.0,0.7,91.0,8.0
2994442,tiantan_aq,2018-05-11 00:00:00,38.0,80.0,54.0,0.6,61.0,3.0
2994443,guanyuan_aq,2018-05-11 00:00:00,30.0,,41.0,0.6,99.0,8.0
2994444,wanshouxigong_aq,2018-05-11 00:00:00,45.0,101.0,45.0,0.7,64.0,6.0
2994445,aotizhongxin_aq,2018-05-11 00:00:00,42.0,62.0,52.0,0.4,84.0,5.0
2994446,nongzhanguan_aq,2018-05-11 00:00:00,46.0,93.0,68.0,0.8,54.0,6.0
2994447,wanliu_aq,2018-05-11 00:00:00,53.0,89.0,86.0,0.6,53.0,7.0
2994448,beibuxinqu_aq,2018-05-11 00:00:00,91.0,188.0,109.0,1.3,2.0,2.0
2994449,zhiwuyuan_aq,2018-05-11 00:00:00,,,,,,
2994450,fengtaihuayuan_aq,2018-05-11 00:00:00,57.0,83.0,43.0,0.8,91.0,10.0
2994451,yungang_aq,2018-05-11 00:00:00,39.0,77.0,38.0,0.6,83.0,7.0
2994452,gucheng_aq,2018-05-11 00:00:00,59.0,101.0,56.0,0.6,76.0,8.0
2994453,fangshan_aq,2018-05-11 00:00:00,50.0,129.0,42.0,0.6,100.0,8.0
2994454,daxing_aq,2018-05-11 00:00:00,45.0,120.0,56.0,0.7,79.0,7.0
2994455,yizhuang_aq,2018-05-11 00:00:00,50.0,72.0,41.0,0.7,95.0,7.0
2994456,tongzhou_aq,2018-05-11 00:00:00,68.0,121.0,67.0,0.8,50.0,14.0
2994457,shunyi_aq,2018-05-11 00:00:00,141.0,,61.0,1.4,59.0,17.0
2994458,pingchang_aq,2018-05-11 00:00:00,75.0,168.0,59.0,0.8,30.0,2.0
2994459,mentougou_aq,2018-05-11 00:00:00,48.0,101.0,67.0,0.7,72.0,7.0
2994460,pinggu_aq,2018-05-11 00:00:00,105.0,,44.0,1.1,103.0,16.0
2994461,huairou_aq,2018-05-11 00:00:00,105.0,141.0,67.0,1.1,57.0,6.0
2994462,miyun_aq,2018-05-11 00:00:00,96.0,112.0,56.0,1.0,68.0,5.0
2994463,yanqin_aq,2018-05-11 00:00:00,60.0,,40.0,0.6,60.0,2.0
2994464,dingling_aq,2018-05-11 00:00:00,77.0,99.0,50.0,0.7,65.0,4.0
2994465,badaling_aq,2018-05-11 00:00:00,58.0,63.0,56.0,0.5,69.0,2.0
2994466,miyunshuiku_aq,2018-05-11 00:00:00,78.0,85.0,21.0,0.8,96.0,3.0
2994467,donggaocun_aq,2018-05-11 00:00:00,94.0,,38.0,1.0,90.0,29.0
2994468,yongledian_aq,2018-05-11 00:00:00,82.0,117.0,52.0,0.9,86.0,10.0
2994469,yufa_aq,2018-05-11 00:00:00,68.0,118.0,40.0,0.7,76.0,8.0
2994470,liulihe_aq,2018-05-11 00:00:00,61.0,147.0,46.0,0.7,58.0,11.0
2994471,qianmen_aq,2018-05-11 00:00:00,54.0,103.0,92.0,0.7,47.0,9.0
2994472,yongdingmennei_aq,2018-05-11 00:00:00,49.0,99.0,84.0,0.7,49.0,9.0
2994473,xizhimenbei_aq,2018-05-11 00:00:00,,,,,,
2994474,nansanhuan_aq,2018-05-11 00:00:00,46.0,132.0,119.0,0.8,25.0,10.0
2994475,dongsihuan_aq,2018-05-11 00:00:00,53.0,111.0,113.0,0.8,27.0,10.0
2994497,dongsi_aq,2018-05-11 01:00:00,50.0,,55.0,0.8,85.0,10.0
2994498,tiantan_aq,2018-05-11 01:00:00,61.0,104.0,49.0,0.8,67.0,3.0
2994499,guanyuan_aq,2018-05-11 01:00:00,34.0,157.0,52.0,0.6,85.0,10.0
2994500,wanshouxigong_aq,2018-05-11 01:00:00,52.0,119.0,45.0,0.7,74.0,6.0
2994501,aotizhongxin_aq,2018-05-11 01:00:00,45.0,70.0,64.0,0.5,69.0,5.0
2994502,nongzhanguan_aq,2018-05-11 01:00:00,53.0,93.0,66.0,0.9,64.0,7.0
2994503,wanliu_aq,2018-05-11 01:00:00,43.0,81.0,84.0,0.7,49.0,5.0
2994504,beibuxinqu_aq,2018-05-11 01:00:00,96.0,187.0,104.0,1.4,5.0,2.0
2994505,zhiwuyuan_aq,2018-05-11 01:00:00,,,,,,
2994506,fengtaihuayuan_aq,2018-05-11 01:00:00,61.0,103.0,46.0,0.7,92.0,8.0
2994507,yungang_aq,2018-05-11 01:00:00,52.0,66.0,34.0,0.6,92.0,8.0
2994508,gucheng_aq,2018-05-11 01:00:00,54.0,75.0,56.0,0.6,78.0,8.0
2994509,fangshan_aq,2018-05-11 01:00:00,52.0,123.0,33.0,0.6,114.0,6.0
2994510,daxing_aq,2018-05-11 01:00:00,61.0,130.0,48.0,0.8,81.0,6.0
2994511,yizhuang_aq,2018-05-11 01:00:00,60.0,83.0,40.0,0.8,95.0,6.0
2994512,tongzhou_aq,2018-05-11 01:00:00,70.0,131.0,52.0,0.8,71.0,14.0
2994513,shunyi_aq,2018-05-11 01:00:00,132.0,149.0,62.0,1.4,56.0,19.0
2994514,pingchang_aq,2018-05-11 01:00:00,74.0,,57.0,0.7,46.0,4.0
2994515,mentougou_aq,2018-05-11 01:00:00,54.0,99.0,72.0,0.7,66.0,8.0
2994516,pinggu_aq,2018-05-11 01:00:00,94.0,107.0,41.0,1.2,106.0,19.0
2994517,huairou_aq,2018-05-11 01:00:00,98.0,136.0,58.0,1.1,72.0,9.0
